2581
JOHN  JHEFERSON 1.08
LYNNE LUTHER  5.50
LATOYA FREDRICK  2.25
DELLA ARTURO  7.47
ALEJANDRO WENDELL  9.81
SHERI MARIANNE  8.43
JULIUS JEREMIAH  5.11
SHAUN OTIS  8.08
KARA JACQUELYN  5.52
ERMA BLANCA  9.54
ANGELO ALEXIS  9.33
TREVOR ROXANNE  2.80
OLIVER MYRA  5.14
MORGAN LUKE  7.03
LETICIA KRISTA  7.88
HOMER GERARD  1.34
DOUG CAMERON  2.71
SADIE ROSALIE  0.46
ROBYN KENNY  7.49
IRA HUBERT  0.59
BROOKE BETHANY  9.49
BERNADETTE BENNIE  5.89
ANTONIA ANGELICA  6.38
ALEXANDRA ADRIENNE  6.50
TRACI RACHAEL  8.47
NICHOLE MURIEL  0.27
MATT MABLE  9.68
LYLE LAVERNE  0.37
KENDRA JASMINE  5.17
ERNESTINE CHELSEA  0.68
ALFONSO REX  1.28
ORLANDO OLLIE  3.58
NEAL MARCELLA  3.71
LOREN KRYSTAL  4.34
ERNESTO ELENA  6.54
CARLTON BLAKE  2.36
ANGELINA WILBUR  4.74
TAYLOR SHELBY  3.14
RUDY RODERICK  8.08
PAULETTE PABLO  9.90
OMAR NOEL  0.63
NADINE LORENZO  1.83
LORA LEIGH  1.99
KARI HORACE  4.97
GRANT ESTELLE  1.66
DIANNA WILLIS  7.97
ROSEMARIE RICKEY  8.19
MONA KELLEY  0.73
DOREEN DESIREE  8.12
ABRAHAM RUDOLPH  3.58
PRESTON MALCOLM  3.37
KELVIN JOHNATHAN  7.00
JANIS HOPE  0.96
GINGER FREDA  8.84
DAMON CHRISTIE  2.04
CESAR BETSY  9.33
ANDRES WM  6.35
TOMMIE TERI  8.07
ROBBIE MEREDITH  3.56
MERCEDES MARCO  7.36
LYNETTE EULA  8.38
CRISTINA ARCHIE  4.70
ALTON SOPHIA  5.57
ROCHELLE RANDOLPH  4.85
PETE MERLE  4.65
MEGHAN JONATHON  4.41
GRETCHEN GERARDO  4.09
GEOFFREY GARRY  9.07
FELIPE ELOISE  1.00
ED DOMINIC  0.14
DEVIN CECELIA  5.85
CARROLL RAQUEL  4.83
LUCAS JANA  1.30
HENRIETTA GWEN  4.91
GUILLERMO EARNEST  8.56
DELBERT COLIN  7.62
ALYSSA TRICIA  4.81
TASHA SPENCER  2.29
RODOLFO OLIVE  0.80
MYRON JENNA  3.18
EDMUND CLEO  5.52
BENNY SOPHIE  4.49
SONJA SILVIA  6.62
SALVATORE PATTI  1.09
MINDY MAY  8.57
MANDY LOWELL  1.95
LORENA LILA  9.65
LANA KELLIE  3.63
KATE JEWEL  2.69
GREGG GARRETT  6.98
ESSIE ELVIRA  0.46
DELIA DARLA  5.99
CEDRIC WILSON  7.24
SYLVESTER SHERMAN  3.66
SHARI ROOSEVELT  9.72
MIRANDA MARTY  8.29
MARTA LUCIA  6.30
LORENE LELA  6.16
JOSEFINA JOHANNA  3.61
JERMAINE JEANNIE  4.38
ISRAEL FAITH  3.70
ELSA DIXIE  6.08
CAMILLE WINIFRED  5.35
WILBERT TAMI  9.58
TABITHA SHAWNA  8.67
RENA ORA  3.65
NETTIE MELBA  2.69
MARINA LELAND  4.88
KRISTIE FORREST  0.47
ELISA EBONY  6.97
ALISHA AIMEE  8.89
TAMMIE SIMON  0.70
SHERRIE SAMMY  0.29
RONDA PATRICE  4.53
OWEN MYRNA  3.63
MARLA LATASHA  9.25
IRVING DALLAS  0.62
CLARK BRYANT  0.98
BONITA AUBREY  9.21
ADDIE WOODROW  1.22
STACIE RUFUS  2.42
ROSARIO REBEKAH  8.30
MARCOS MACK  0.51
LUPE LUCINDA  9.04
LOU LEVI  0.77
LAURENCE KRISTOPHER  3.58
JEWELL JAKE  0.31
GUSTAVO FRANCINE  3.31
ELLIS DREW  6.64
DORTHY DELORIS  1.83
CHERI CELESTE  1.55
CARA ADRIANA  2.05
ADELE ABIGAIL  2.70
TRISHA TRINA  8.26
TRACIE SALLIE  0.37
REBA ORVILLE  3.25
NIKKI NICOLAS  3.22
MARISSA LOURDES  5.93
LOTTIE LIONEL  5.39
LENORA LAUREL  5.45
KERRI KELSEY  2.10
KARIN JOSIE  3.53
JANELLE ISMAEL  4.01
HELENE GILBERTO  3.27
GALE FRANCISCA  3.32
FERN ETTA  4.47
ESTELLA ELVA  5.18
EFFIE DOMINIQUE  9.53
CORINNE CLINT  0.06
BRITTNEY AURORA  9.15
WILFRED TOMAS  3.39
TOBY SHELDON  0.77
SANTOS MAUDE  5.93
LESLEY JOSH  3.94
JENIFER IVA  9.92
INGRID INA  4.74
IGNACIO HUGO  2.75
GOLDIE EUGENIA  2.70
ERVIN ERICK  2.02
ELISABETH DEWEY  3.17
CHRISTA CASSIE  9.96
CARY CALEB  8.00
CAITLIN BETTIE  5.15
AL AIDA  2.03
VAN THERESE  7.59
TERENCE TAMIKA  9.80
STEWART SANTIAGO  9.31
ROSETTA ROGELIO  5.90
RAMIRO POLLY  2.61
NOAH LORNA  9.47
LATONYA KRIS  8.02
JANETTE ELIAS  2.20
ELBERT DOYLE  1.20
DINA DENA  9.55
DEBORA DARREL  6.54
DARNELL CONSUELO  8.91
CONRAD CHERIE  2.06
CAREY CANDY  2.82
BERT ALONZO  2.96
TRUDY TERRELL  1.30
STEFANIE SHANNA  1.34
ROLANDO PHIL  2.75
PERCY PATRICA  0.28
NELL LAMAR  0.68
KIMBERLEY JILLIAN  4.70
HELENA GRADY  3.69
FAY ESPERANZA  2.80
DOROTHEA DEXTER  0.44
DEVON DEE  8.26
CORNELIUS CLAY  1.12
CAROLINA BRADFORD  4.18
SUSANNE SAUL  2.31
ROMAN RANDAL  2.17
OLA MOSES  5.09
MOLLIE MICKEY  7.74
MARIBEL LOUIE  6.88
KENDALL JANINE  6.53
IRVIN DARIN  1.42
AMOS ALISA  1.96
WINSTON TIMMY  5.28
SUSANA RACHELLE  7.25
PETRA PAIGE  2.15
MICAH MARLON  4.88
LEOLA KEISHA  6.93
JONI JOLENE  2.73
JOCELYN JERALD  3.28
ISABELLE IMOGENE  3.68
GRACIELA ESTER  3.88
EMMETT EMILIO  9.71
EMIL EMANUEL  4.47
ELISE ELIJAH  1.39
EDMOND DOMINICK  4.18
DOMINGO DARRIN  4.17
DAPHNE CECILE  5.02
BRENDAN BOYD  6.26
BETTE ALTA  3.58
ABEL WILL  7.29
URSULA TRENT  4.74
TONIA TEDDY  7.26
STEPHAN SONDRA  6.54
SHANA ROSALIND  3.03
REYNALDO OTTO  8.96
MAYRA MARISOL  9.66
MARISA LOGAN  5.12
LIZZIE LACEY  3.34
KIRSTEN KERI  3.65
JESS JAYNE  9.61
JACLYN HUMBERTO  7.92
GRACIE GLENNA  2.18
GABRIELA EMMANUEL  6.10
DEWAYNE DEMETRIUS  7.35
CLARICE CHARITY  6.07
CARMELA BRET  2.01
BEATRIZ ADELINE  0.04
YOUNG VICENTE  7.15
SUMMER STACI  9.45
SHEENA SHAUNA  6.60
SAMMIE ROYCE  5.83
RODGER MILLIE  0.10
MILES MARGRET  0.20
LUELLA LILY  2.82
LEA LAMONT  2.03
KATHARINE JUSTINE  9.85
JODIE JEANINE  7.16
HEATH HARLEY  3.82
GARLAND GABRIELLE  5.79
FRIEDA ETHAN  3.65
ELMA ELDON  7.56
EFRAIN CLAUDETTE  9.36
CHRISTI CATHLEEN  7.27
AUTUMN ANGELINE  1.37
ANGELIA WINNIE  5.34
WILLA SYBIL  6.87
STERLING SOCORRO  0.52
SELMA ROCKY  9.81
PIERRE MAVIS  4.60
MARTINA MARITZA  2.56
MARGO MARCY  0.26
MANUELA LUISA  2.51
LUCILE LORIE  4.17
LEANNE LARA  7.28
LADONNA JUNIOR  0.94
JEANNINE IVY  2.90
GROVER GERRY  4.08
FREDDY ELTON  3.32
ELI DYLAN  1.75
DOLLY DEANA  3.92
DAMIAN CLEVELAND  9.36
CHUCK CHASE  9.68
CALLIE BRYCE  9.83
BOBBI ANTOINE  8.95
AILEEN ABBY  9.96
VIRGIE SYDNEY  1.27
STAN SIMONE  3.49
RUSSEL REUBEN  3.49
RANDI QUENTIN  0.33
OFELIA MURRAY  7.48
MONTE MEAGAN  6.15
MATILDA MAGDALENA  8.71
LEONARDO LEILA  1.18
LEANN LATISHA  0.29
KASEY JERI  5.56
JASPER HANS  2.29
GEORGINA ERWIN  3.36
ERNIE ELIZA  8.26
CURT CRUZ  5.93
CORNELIA BRIDGETTE  2.55
BLAINE BIANCA  7.69
BETTYE BENITO  0.43
BARBRA AUGUST  7.86
AUDRA AGUSTIN  7.19
WILFREDO VANCE  6.49
VALARIE TYSON  1.59
TIA TERRIE  3.50
SON SHARRON  0.04
RUTHIE ROSALYN  9.06
RHODA RAE  5.58
NOLA NELDA  8.45
MINERVA MICHEL  0.22
MIA LILLY  8.75
LIDIA LETHA  2.69
LENORE JOAQUIN  4.27
JARROD JAMI  4.53
JAMAL ILA  2.35
HILARY HARRISON  7.04
HARLAN HALEY  1.40
GRETA GREGORIO  8.59
FLOSSIE ESTELA  6.05
ERICKA ELNORA  0.86
ELLIOTT ELLIOT  1.69
EARLINE DONA  5.43
DESMOND DENIS  3.41
DARWIN DAMIEN  8.33
CORRINE CONCEPCION  4.65
CLARISSA CHANDRA  7.36
CATALINA BURTON  4.65
BUDDY BRIANNA  6.45
BRADY BERNADINE  0.99
BART AVA  0.73
ARIEL ALI  4.32
ALEXANDRIA ADOLFO  1.38
ADELA ZELMA  7.72
YONG XAVIER  1.08
WILLIAMS TANIA  5.67
TAMEKA TABATHA  7.93
SOLOMON SOFIA  8.72
SERENA SCOTTY  1.19
SAUNDRA ROSCOE  6.13
RORY ROD  0.11
ROB QUINTON  1.97
PENELOPE PEARLIE  2.25
ODESSA ODELL  8.24
NOREEN NORBERT  8.22
NOLAN NEVA  1.53
NANNIE MOISES  0.53
MILAGROS MELISA  4.90
MARYLOU MARLIN  0.79
MALINDA LORAINE  8.65
LACY KERMIT  8.17
KENDRICK KARINA  4.10
JEANIE HILLARY  5.75
HARRIETT HAL  5.13
EVE ESTEBAN  9.65
ESMERALDA EMILIA  4.25
ELWOOD ELVIN  0.37
DARIUS BRAIN  5.69
BLAIR BENITA  0.87
AVIS ASHLEE  1.07
ANTON AMIE  6.04
ALVA ALLYSON  8.94
ALLIE THURMAN  6.24
THADDEUS TANISHA  5.96
SELENA RUSTY  1.34
ROSALINDA RICKIE  9.50
REGGIE RAPHAEL  0.57
NOEMI NITA  8.80
NED MONTY  7.51
MASON MARCIE  0.10
MARCEL MALLORY  5.48
LOUISA LORRIE  6.09
LIZA LILIA  9.47
KATY JULIANNE  5.70
JOESPH JERRI  1.65
JEFFRY JACKSON  3.82
GRAHAM GAY  7.03
FIDEL FABIAN  1.51
ELISHA ELINOR  1.69
EARNESTINE EARLENE  3.18
DARCY DANE  3.12
CLIFF CLARE  7.79
CARMELLA CARLENE  5.77
BRYON AVERY  4.19
ARMAND ANNABELLE  4.03
ALVARO ALTHEA  5.75
ALEJANDRA ALANA  6.88
YESENIA WILEY  9.45
VAUGHN VALERIA  4.82
TY TRINIDAD  4.79
TAMMI SUZETTE  6.95
ROXIE ROSLYN  0.91
RODRIGO ROCCO  1.00
RIGOBERTO OPHELIA  9.55
NUMBERS NORRIS  8.25
NONA NOE  7.59
NANETTE NADIA  9.38
MITZI MILLARD  1.66
MELVA MARYANNE  9.65
MARICELA MARI  3.72
MARGERY MADGE  8.40
LUANN LOYD  9.74
LINA LILIAN  8.63
LAWANDA LAVONNE  8.67
LAVERN LANE  3.91
LAKISHA KIRBY  9.92
KENYA KAYE  8.25
KATHRINE KATHIE  2.23
JULIANA IVORY  1.47
ISAIAH ILENE  8.03
HOLLIS GUS  4.31
GONZALO GEORGETTE  5.87
FRAN EVANGELINE  9.78
EDWINA DOLLIE  7.69
DION DIEGO  6.13
DERICK DENNY  5.94
DEANNE CORINE  0.71
COLETTE CLAUDINE  9.45
CLAIR CHRYSTAL  3.71
CHONG CHARMAINE  0.02
ALPHONSO ALISSA  0.55
ALINE ADOLPH  0.01
WENDI WARD  3.94
VINCE VILMA  6.11
VERN ULYSSES  3.83
TRISTAN TESSA  1.88
SUSANNA SHEREE  0.84
SEBASTIAN SCOT  3.65
SAVANNAH SASHA  4.83
ROSELLA ROSEANN  0.42
ROSANNE ROMEO  1.21
RILEY REVA  8.98
REED QUINCY  4.86
NICKOLAS NATALIA  4.70
MERRILL MAYNARD  7.64
MAXWELL MAURICIO  0.02
MARVA MARIETTA  9.62
MARCI MADELYN  5.02
LYNNETTE LILIANA  3.67
LESSIE LEONOR  9.30
LAKEISHA KATELYN  7.75
JULIETTE JOSEFA  6.47
JOHNIE JEFFERSON  3.81
JAYSON JARVIS  4.58
JANNA ISSAC  6.14
IMELDA HIRAM  1.95
HERIBERTO GENA  1.21
GAVIN FEDERICO  2.25
EMERY ELVIS  8.74
ELVIA EDDY  5.10
DUSTY DONOVAN  7.88
DONNELL DEIRDRE  6.38
DEIDRE DEENA  5.29
DAVIS DANTE  6.46
COY CORINA  3.77
COLE COLBY  0.03
CLEMENT CHASITY  5.51
CARLY BRUNO  0.42
BRIANA BERTA  5.32
BERNIE BERNARDO  6.70
BASIL AURELIA  9.61
AUGUSTINE AUGUSTA  6.41
ARLINE ARACELI  2.51
ANASTASIA AMALIA  0.31
ALYCE WINFRED  1.28
WILDA WELDON  3.71
VITO TWILA  6.18
TRUMAN TRENTON  2.15
TISHA TAMRA  8.74
TAMERA STEVIE  5.35
STEFAN SILAS  9.35
SANFORD ROWENA  7.04
ROSANNA RHEA  4.63
REYNA QUEEN  4.57
PHOEBE NESTOR  6.79
MILLICENT MERLIN  0.12
MAURA MARYELLEN  8.88
MARQUITA MARIANA  9.14
MARCELINO MARA  3.24
MAI MADELEINE  3.79
LOLITA LIZ  4.18
LINWOOD LELIA  6.76
LEANNA LAURI  2.33
KURTIS KATINA  9.59
KATHERYN KARYN  9.25
KAITLIN JULIET  2.42
JOHNATHON JANNIE  0.82
JANELL JAME  2.65
JACKLYN ISIDRO  4.48
IRWIN INES  3.58
HUNTER HOLLIE  3.60
HESTER HELGA  2.83
HARRIS HALLIE  0.41
GILDA GALEN  7.03
FREIDA FREDERIC  6.10
FRANCESCA FLORINE  1.98
FANNY EVANGELINA  7.10
ERNA ENID  4.52
DUDLEY DONNY  7.34
DIONNE DICK  7.78
DIANN DENVER  7.28
DELMAR CONCETTA  4.55
COLLIN COLEEN  4.21
CHERRY CHARLEY  3.64
CATHRYN CASANDRA  5.94
CARTER CARROL  8.05
CARMELO CARLO  0.83
CARISSA BROCK  3.58
BRITNEY BRIGITTE  9.86
BRIDGETT BERYL  6.60
BERTIE BEAU  1.10
BARNEY AURELIO  2.37
ART ANNMARIE  5.93
ANGELITA ANGELIQUE  3.34
AMPARO ALYSON  0.30
ALFREDA ALBA  8.29
AISHA ZELDA  9.93
ZACHERY WILMER  2.53
WILFORD VONDA  4.51
TORI THERON  3.73
TERRA SONNY  3.99
SIERRA SHELTON  6.15
SHARLENE SELINA  5.88
SCOTTIE SANG  0.41
ROSALIA ROCIO  7.16
ROBBY RENAE  2.23
REFUGIO RAYMUNDO  5.08
PASQUALE PANSY  3.56
PAMALA OCTAVIO  4.61
OCTAVIA NOELLE  3.29
NELLY NAN  3.84
MONROE MONIKA  9.08
MOHAMMAD MINA  6.17
MICHELL MICHAELA  1.30
MELLISA MARIANO  8.18
MARGOT MA  2.27
LOUELLA LINCOLN  2.34
LIBBY LETITIA  3.91
LETA LESA  0.74
LEONEL LEEANN  1.32
LATANYA LASHONDA  2.39
LANDON LAKESHA  4.78
KITTY KIMBERLEE  3.97
KATHI KAITLYN  6.62
JUSTINA JUDI  8.00
JOSUE JASMIN  5.80
JADE JACQUES  4.28
ISABELLA HUNG  2.25
HOUSTON HONG  6.35
HERMINIA GUSSIE  9.52
GERMAN GERMAINE  0.18
GERI GENARO  9.23
GAYLA FLETCHER  6.54
FELECIA ERROL  7.71
EMORY EMILIE  4.81
EMERSON ELDA  6.54
ELBA EDYTHE  8.46
EDWARDO DORIAN  3.70
DORETHA DIRK  1.00
DESSIE DENICE  5.48
DEIDRA DEANN  1.07
DAYNA DAREN  8.68
DANIAL DALTON  3.27
CORTNEY CORNELL  8.64
CHELSEY CELINA  6.93
CARYN CARSON  4.57
CAMILLA BUFORD  0.02
BRANDIE BRANDEN  3.46
BOOKER BEVERLEY  2.13
BENNETT ASHLEIGH  4.63
ARRON ANTONY  4.82
ANTIONETTE ALLENE  0.70
ADELAIDE ADAN  3.10
ABBIE ZANE  8.67
WINONA WILHELMINA  1.43
WILBURN VIRGINA  8.09
VIDA VERNICE  4.08
VERDA VEDA  9.06
VALENTIN TREVA  5.20
TILLIE THEODORA  9.38
THEO THANH  0.57
THAD TESSIE  4.40
TERESITA TERA  3.00
TAWANA TARYN  8.50
SUNG SUN  4.60
SOLEDAD SHONDA  6.81
SHIELA SHELLIE  0.25
SEYMOUR RUSS  4.55
ROSITA ROSALEE  4.44
RONNY ROBBIN  2.11
RICH RETHA  7.60
REID REBECA  5.99
RANDELL RACHEAL  1.80
PORTIA PATTIE  2.82
PARIS OMA  0.35
NILDA MYLES  7.22
MORTON MOHAMMED  2.85
MITCHEL MINH  5.99
MIGDALIA MERVIN  2.41
MERRY MAURINE  6.44
MAUDIE MARYJANE  0.47
MARYBETH MARISELA  8.82
MARILYNN MARIANNA  8.58
MALISSA MAJOR  2.29
LUCRETIA LUCIEN  4.07
LUCIANO LONA  9.00
LON LEORA  4.58
LAZARO LATRICE  3.38
LASHAWN KRYSTLE  2.21
KENNITH KARRIE  9.49
JONAS JENA  0.77
JEANNA JARRETT  6.94
JAQUELINE JANEL  3.33
JAMEY JAMEL  2.73
JACQULINE IVETTE  5.69
IONA IOLA  8.77
HORTENCIA HERSCHEL  4.04
HANNA GUILLERMINA  1.55
GRISELDA GIOVANNI  9.60
GARTH FREEMAN  9.24
FOREST FERDINAND  6.97
FATIMA EZRA  4.49
EUGENIO ERNESTINA  4.47
ERICH ELOISA  7.15
